CLOCK_REF  mono_ns=731385210527678  real_ns=1789312668312737903
WRITE  gpa=0x000000011eee4000  ts=731387640731220
WRITE  gpa=0x0000002a33815000  ts=731387641899157
WRITE  gpa=0x0000002a33816000  ts=731387641908707
WRITE  gpa=0x0000002a33803000  ts=731387641912907
WRITE  gpa=0x0000002a34405000  ts=731387641920867
WRITE  gpa=0x0000002a3440b000  ts=731387641925397
WRITE  gpa=0x0000002a3440c000  ts=731387641928657
WRITE  gpa=0x0000003f7fc32000  ts=731387641936347
WRITE  gpa=0x0000003f7fc31000  ts=731387641942947
WRITE  gpa=0x0000003f7fc1f000  ts=731387641947057
WRITE  gpa=0x0000000100000000  ts=731387641952687
WRITE  gpa=0x00000001001ce000  ts=731387641959536
WRITE  gpa=0x00000001001cf000  ts=731387641963146
WRITE  gpa=0x0000003f7fc05000  ts=731387641966876
WRITE  gpa=0x0000002a34401000  ts=731387641971376
WRITE  gpa=0x0000000100db1000  ts=731387641976416
WRITE  gpa=0x00000001001d0000  ts=731387641981916
WRITE  gpa=0x000000011ee32000  ts=731387641986566
WRITE  gpa=0x000000011ee33000  ts=731387641991776
WRITE  gpa=0x000000011ee36000  ts=731387641996546
WRITE  gpa=0x0000003f7fc23000  ts=731387642000706
WRITE  gpa=0x0000002a33807000  ts=731387642004346
WRITE  gpa=0x0000002a33fd5000  ts=731387642008676
WRITE  gpa=0x0000002a33fd3000  ts=731387642012686
WRITE  gpa=0x000000011ee34000  ts=731387642017426
WRITE  gpa=0x0000002a33c0c000  ts=731387642021516
WRITE  gpa=0x0000002a339d0000  ts=731387642026376
WRITE  gpa=0x0000003f7fc2e000  ts=731387642031136
WRITE  gpa=0x0000003f7fc33000  ts=731387642035736
WRITE  gpa=0x0000003f7fc15000  ts=731387642039936
WRITE  gpa=0x0000002a3440d000  ts=731387642047646
WRITE  gpa=0x0000002a3440e000  ts=731387642051505
WRITE  gpa=0x0000002a3381c000  ts=731387642055535
WRITE  gpa=0x0000003f7fc22000  ts=731387642078575
WRITE  gpa=0x0000000103b11000  ts=731387642085355
WRITE  gpa=0x00000001034de000  ts=731387642091305
WRITE  gpa=0x0000002a33be3000  ts=731387642096215
WRITE  gpa=0x0000003f7fc20000  ts=731387642101705
WRITE  gpa=0x0000003f7fc2d000  ts=731387642111745
WRITE  gpa=0x000000027b55b000  ts=731387642119085
WRITE  gpa=0x0000000120b74000  ts=731387642126885
WRITE  gpa=0x0000000122b8f000  ts=731387642132795
WRITE  gpa=0x00000003d0d96000  ts=731387642138424
WRITE  gpa=0x000000011f55a000  ts=731387642145574
WRITE  gpa=0x000000011f7ab000  ts=731387642150744
WRITE  gpa=0x000000011f2b8000  ts=731387642159154
WRITE  gpa=0x00000001057b8000  ts=731387642165304
WRITE  gpa=0x0000000100040000  ts=731387642170784
WRITE  gpa=0x0000000102251000  ts=731387642175644
WRITE  gpa=0x0000000102252000  ts=731387642179644
WRITE  gpa=0x000000011f2fa000  ts=731387642183774
WRITE  gpa=0x0000000117598000  ts=731387642188754
WRITE  gpa=0x0000000103b4e000  ts=731387642194674
WRITE  gpa=0x0000000100117000  ts=731387642199954
WRITE  gpa=0x0000000100293000  ts=731387642203914
WRITE  gpa=0x0000002a33f65000  ts=731387642208534
WRITE  gpa=0x000000011ec73000  ts=731387642213074
WRITE  gpa=0x0000002a3381b000  ts=731387642218104
WRITE  gpa=0x000000011ee31000  ts=731387642230663
WRITE  gpa=0x0000000100d61000  ts=731387642234553
WRITE  gpa=0x0000000100320000  ts=731387642238923
WRITE  gpa=0x0000000100db0000  ts=731387642242543
WRITE  gpa=0x000000010004f000  ts=731387642252493
WRITE  gpa=0x0000000100123000  ts=731387642256453
WRITE  gpa=0x00000003b21f7000  ts=731387642261443
WRITE  gpa=0x00000003d0291000  ts=731387642266373
WRITE  gpa=0x000000011f79d000  ts=731387642272673
WRITE  gpa=0x000000011f79c000  ts=731387642276803
WRITE  gpa=0x00000003cf5dc000  ts=731387642280583
WRITE  gpa=0x00000003cf530000  ts=731387642285453
WRITE  gpa=0x0000002a33fd4000  ts=731387642290603
WRITE  gpa=0x0000002a33849000  ts=731387642295873
WRITE  gpa=0x0000000118276000  ts=731387642301073
WRITE  gpa=0x000000011cb72000  ts=731387642305683
WRITE  gpa=0x000000011964f000  ts=731387642311263
WRITE  gpa=0x0000003f7fc36000  ts=731387642316352
WRITE  gpa=0x00000003d6b28000  ts=731387642321282
WRITE  gpa=0x00000003cf5ca000  ts=731387642325402
