timestamp,sample_idx,label,offset,match_rate,nonzero
2026-08-14T01:47:15,100,5,384,100.0,43
2026-08-14T01:47:32,101,7,3456,100.0,57
2026-08-14T01:47:47,102,1,1024,100.0,20
2026-08-14T01:48:03,103,7,1152,100.0,49
2026-08-14T01:48:19,104,1,2112,69.4,94
2026-08-14T01:48:34,105,1,3648,68.9,42
2026-08-14T01:48:50,106,6,3712,100.0,53
2026-08-14T01:49:05,107,3,704,100.0,56
2026-08-14T01:49:21,108,0,3904,43.4,139
2026-08-14T01:49:36,109,2,1472,100.0,43
2026-08-14T01:49:52,110,9,1664,100.0,54
