The image processor of type `Qwen2VLImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`. Note that this behavior will be extended to all models in a future release.
[TS] batch0/input: write_done_realtime_ns=1787628750899236173
[GPA] batch0/input/input_ids: GPA=0x33f163000
[GPA_FULL] batch0/input/input_ids: bytes=5200 pages=2 mapped=2 runs=1
[GPA_RUN] batch0/input/input_ids: 0x33f163000 len=2
[GPA] batch0/input/pixel_values: GPA=0x34bcb6000
[GPA_FULL] batch0/input/pixel_values: bytes=11176704 pages=2730 mapped=2730 runs=731
[GPA_RUN] batch0/input/pixel_values: 0x34bcb6000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x34c0f0000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x35763f000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3178fe000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1aefa8000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x153704000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3cfb79000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x348956000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3065ee000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x32db53000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1d2740000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x210fac000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1e2369000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x38d7d7000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x38d7d5000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x368d2c000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3d1054000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x140ed5000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x35723e000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x33c731000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x39be67000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x180760000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36c7cf000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x14e660000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3867cb000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3a0dae000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3821af000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3a0a2e000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3cfdfd000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x366d1d000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x32a4f6000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x2f1434000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x13d377000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3d6dfb000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x344927000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x357114000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x367eaf000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3374ea000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3c7836000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x30ed5b000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x205905000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x32d98a000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x35b5c5000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x381806000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x2f0844000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x18d8fc000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x30f842000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x31d329000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1bdfbb000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x13e10e000 len=1
