CLOCK_REF  mono_ns=34207826327699  real_ns=1787628831653856277
WRITE  gpa=0x000000036ee5c000  ts=34196996198746
WRITE  gpa=0x000000036ee5d000  ts=34196996201456
WRITE  gpa=0x000000036ee5e000  ts=34196996204126
WRITE  gpa=0x000000036ee5f000  ts=34196996206586
WRITE  gpa=0x00000003c7fa0000  ts=34196996210906
WRITE  gpa=0x00000003c7fa1000  ts=34196996214896
WRITE  gpa=0x00000003c7fa2000  ts=34196996217656
WRITE  gpa=0x00000003c7fa3000  ts=34196996220146
WRITE  gpa=0x00000003c7fa4000  ts=34196996222876
WRITE  gpa=0x00000003b67d9000  ts=34196996225456
WRITE  gpa=0x00000003c7fa5000  ts=34196996228876
WRITE  gpa=0x00000003c7fa6000  ts=34196996231516
WRITE  gpa=0x00000003c7fa7000  ts=34196996233976
WRITE  gpa=0x00000003c7fa8000  ts=34196996237656
WRITE  gpa=0x00000003c7fa9000  ts=34196996241146
WRITE  gpa=0x00000003c7faa000  ts=34196996243766
WRITE  gpa=0x00000003c7fab000  ts=34196996246596
WRITE  gpa=0x00000003c7fac000  ts=34196996250166
WRITE  gpa=0x00000003c7fad000  ts=34196996252966
WRITE  gpa=0x00000003c7fae000  ts=34196996255626
WRITE  gpa=0x00000003c7faf000  ts=34196996258436
WRITE  gpa=0x00000003c7fb0000  ts=34196996261026
WRITE  gpa=0x00000003c7fb1000  ts=34196996264206
WRITE  gpa=0x00000003c7fb2000  ts=34196996266796
WRITE  gpa=0x00000003c7fb3000  ts=34196996269716
WRITE  gpa=0x00000003c7fb4000  ts=34196996272646
WRITE  gpa=0x00000003c7fb5000  ts=34196996275696
WRITE  gpa=0x00000003c7fb6000  ts=34196996278316
WRITE  gpa=0x00000003c7fb7000  ts=34196996281096
WRITE  gpa=0x00000003c7fb8000  ts=34196996284006
WRITE  gpa=0x00000003c7fb9000  ts=34196996287156
WRITE  gpa=0x00000003c7fba000  ts=34196996289796
WRITE  gpa=0x00000003c7fbb000  ts=34196996292986
WRITE  gpa=0x00000003c7fbc000  ts=34196996295575
WRITE  gpa=0x00000003c7fbd000  ts=34196996298455
WRITE  gpa=0x00000003c7fbe000  ts=34196996301155
WRITE  gpa=0x00000003c7fbf000  ts=34196996304525
WRITE  gpa=0x00000003751a0000  ts=34196996308595
WRITE  gpa=0x00000003751a1000  ts=34196996312535
WRITE  gpa=0x00000003751a2000  ts=34196996315495
WRITE  gpa=0x00000003751a3000  ts=34196996318315
WRITE  gpa=0x00000003751a4000  ts=34196996321345
WRITE  gpa=0x00000003751a5000  ts=34196996324355
WRITE  gpa=0x00000003751a6000  ts=34196996327045
WRITE  gpa=0x00000003751a7000  ts=34196996329775
WRITE  gpa=0x00000003751a8000  ts=34196996332675
WRITE  gpa=0x00000003751a9000  ts=34196996335925
WRITE  gpa=0x00000003751aa000  ts=34196996338525
WRITE  gpa=0x00000003751ab000  ts=34196996341315
WRITE  gpa=0x00000003751ac000  ts=34196996344455
WRITE  gpa=0x00000003751ad000  ts=34196996347205
WRITE  gpa=0x00000003751ae000  ts=34196996349805
WRITE  gpa=0x00000003751af000  ts=34196996352615
WRITE  gpa=0x00000003751b0000  ts=34196996355205
WRITE  gpa=0x00000003751b1000  ts=34196996358455
WRITE  gpa=0x00000003751b2000  ts=34196996361395
WRITE  gpa=0x00000003751b3000  ts=34196996364235
WRITE  gpa=0x00000003751b4000  ts=34196996367255
WRITE  gpa=0x00000003751b5000  ts=34196996370145
WRITE  gpa=0x00000003751b6000  ts=34196996372775
WRITE  gpa=0x00000003751b7000  ts=34196996375815
WRITE  gpa=0x00000003751b8000  ts=34196996378425
WRITE  gpa=0x00000003751b9000  ts=34196996381655
WRITE  gpa=0x00000003751ba000  ts=34196996384285
WRITE  gpa=0x00000003751bb000  ts=34196996387035
WRITE  gpa=0x00000003751bc000  ts=34196996390805
WRITE  gpa=0x00000003751bd000  ts=34196996393815
WRITE  gpa=0x00000003751be000  ts=34196996396424
WRITE  gpa=0x00000003751bf000  ts=34196996399234
WRITE  gpa=0x0000000311f80000  ts=34196996403724
WRITE  gpa=0x0000000311f81000  ts=34196996407724
WRITE  gpa=0x0000000311f82000  ts=34196996410334
WRITE  gpa=0x0000000311f83000  ts=34196996413354
WRITE  gpa=0x0000000311f84000  ts=34196996416214
WRITE  gpa=0x0000000311f85000  ts=34196996419084
WRITE  gpa=0x0000000311f86000  ts=34196996421704
WRITE  gpa=0x0000000311f87000  ts=34196996424704
WRITE  gpa=0x0000000311f88000  ts=34196996427304
WRITE  gpa=0x0000000311f89000  ts=34196996430404
WRITE  gpa=0x0000000311f8a000  ts=34196996433024
WRITE  gpa=0x0000000311f8b000  ts=34196996435484
WRITE  gpa=0x0000000311f8c000  ts=34196996438574
WRITE  gpa=0x0000000311f8d000  ts=34196996441044
WRITE  gpa=0x0000000311f8e000  ts=34196996443674
WRITE  gpa=0x0000000311f8f000  ts=34196996446134
WRITE  gpa=0x0000000311f90000  ts=34196996448774
WRITE  gpa=0x0000000311f91000  ts=34196996451614
WRITE  gpa=0x0000000311f92000  ts=34196996454214
WRITE  gpa=0x0000000311f93000  ts=34196996456894
WRITE  gpa=0x0000000311f94000  ts=34196996459914
WRITE  gpa=0x0000000311f95000  ts=34196996462864
WRITE  gpa=0x0000000311f96000  ts=34196996465464
WRITE  gpa=0x0000000311f97000  ts=34196996468354
WRITE  gpa=0x0000000311f98000  ts=34196996471294
WRITE  gpa=0x0000000311f99000  ts=34196996474754
WRITE  gpa=0x0000000311f9a000  ts=34196996477424
WRITE  gpa=0x0000000311f9b000  ts=34196996480194
WRITE  gpa=0x0000000311f9c000  ts=34196996483214
WRITE  gpa=0x0000000311f9d000  ts=34197402452498
WRITE  gpa=0x00000003b67b4000  ts=34197402485097
WRITE  gpa=0x0000003f7fc18000  ts=34197402490537
WRITE  gpa=0x000000010c9e2000  ts=34208229445181
WRITE  gpa=0x0000003ce5a15000  ts=34208229456411
WRITE  gpa=0x0000003ce5a16000  ts=34208229461261
WRITE  gpa=0x0000003ce6601000  ts=34208229466421
WRITE  gpa=0x0000000100db1000  ts=34208229472321
WRITE  gpa=0x00000001035db000  ts=34208229476961
WRITE  gpa=0x0000000103491000  ts=34208229481051
WRITE  gpa=0x0000000100000000  ts=34208229485661
WRITE  gpa=0x00000001001ce000  ts=34208229490691
WRITE  gpa=0x00000001001cf000  ts=34208229494091
WRITE  gpa=0x000000011f46e000  ts=34208229541940
WRITE  gpa=0x0000003f7fc05000  ts=34208229547920
WRITE  gpa=0x000000011f5f1000  ts=34208229553380
WRITE  gpa=0x0000003ce6605000  ts=34208229557550
WRITE  gpa=0x0000003ce660b000  ts=34208229560990
WRITE  gpa=0x0000003ce660c000  ts=34208229564190
WRITE  gpa=0x0000000103bc0000  ts=34208229568130
WRITE  gpa=0x000000011ee30000  ts=34208229573030
WRITE  gpa=0x000000011f25f000  ts=34208229580310
WRITE  gpa=0x000000011ee0d000  ts=34208229585280
WRITE  gpa=0x000000011ee0c000  ts=34208229589160
WRITE  gpa=0x000000011ee34000  ts=34208229593670
WRITE  gpa=0x0000003f7fc31000  ts=34208229597780
WRITE  gpa=0x0000003f7fc32000  ts=34208229601320
WRITE  gpa=0x000000011ee31000  ts=34208229605630
WRITE  gpa=0x0000000104f04000  ts=34208229611170
WRITE  gpa=0x0000000100040000  ts=34208229618019
WRITE  gpa=0x0000000102251000  ts=34208229622249
WRITE  gpa=0x0000000102252000  ts=34208229625789
WRITE  gpa=0x000000011f36a000  ts=34208229629549
WRITE  gpa=0x000000012282c000  ts=34208229634079
WRITE  gpa=0x0000000103b4e000  ts=34208229639359
WRITE  gpa=0x0000003f7fc20000  ts=34208229643209
WRITE  gpa=0x0000000104188000  ts=34208229648229
WRITE  gpa=0x0000000103a78000  ts=34208229655069
WRITE  gpa=0x000000011ee6c000  ts=34208229658949
WRITE  gpa=0x000000011ec44000  ts=34208229663279
WRITE  gpa=0x000000011eca5000  ts=34208229668619
WRITE  gpa=0x000000011f0ee000  ts=34208229673039
WRITE  gpa=0x000000011f11d000  ts=34208229677739
WRITE  gpa=0x0000003ce5a1b000  ts=34208229683619
WRITE  gpa=0x0000003f7fc1f000  ts=34208229687399
WRITE  gpa=0x0000000103858000  ts=34208229691629
WRITE  gpa=0x000000010354d000  ts=34208229696709
WRITE  gpa=0x0000003f7fc22000  ts=34208229700149
WRITE  gpa=0x00000001196c9000  ts=34208229705559
WRITE  gpa=0x00000001042bc000  ts=34208229711659
WRITE  gpa=0x00000001001d0000  ts=34208229717208
WRITE  gpa=0x0000003f7fc23000  ts=34208229721678
WRITE  gpa=0x0000000102951000  ts=34208229726048
WRITE  gpa=0x00000003b64cd000  ts=34208229731058
WRITE  gpa=0x0000003ce5de3000  ts=34208229736188
WRITE  gpa=0x0000003ce5a07000  ts=34208229740748
WRITE  gpa=0x0000003ce61d5000  ts=34208229745718
WRITE  gpa=0x0000003ce61d3000  ts=34208229749368
WRITE  gpa=0x0000003ce5bd0000  ts=34208229754078
WRITE  gpa=0x000000011ee32000  ts=34208229758808
WRITE  gpa=0x0000003ce5e0c000  ts=34208229763048
WRITE  gpa=0x0000003f7fc2d000  ts=34208229772118
WRITE  gpa=0x0000000117d9d000  ts=34208229777828
WRITE  gpa=0x0000000320949000  ts=34208229785068
WRITE  gpa=0x000000011edba000  ts=34208229790868
WRITE  gpa=0x000000011edb9000  ts=34208229794378
WRITE  gpa=0x00000001223ec000  ts=34208229799768
WRITE  gpa=0x000000011f378000  ts=34208229805318
WRITE  gpa=0x0000000100117000  ts=34208229811298
