The image processor of type `Qwen2VLImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`. Note that this behavior will be extended to all models in a future release.
[TS] batch0/input: write_done_realtime_ns=1787641925771829110
[GPA] batch0/input/input_ids: GPA=0x1990f2000
[GPA_FULL] batch0/input/input_ids: bytes=3672 pages=2 mapped=2 runs=1
[GPA_RUN] batch0/input/input_ids: 0x1990f2000 len=2
[GPA] batch0/input/pixel_values: GPA=0x19d110000
[GPA_FULL] batch0/input/pixel_values: bytes=7451136 pages=1820 mapped=1820 runs=459
[GPA_RUN] batch0/input/pixel_values: 0x19d110000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d112000 len=12
[GPA_RUN] batch0/input/pixel_values: 0x19d12e000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d12d000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d12c000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d12b000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d12a000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d129000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d128000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d127000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d126000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d125000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d124000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d123000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d122000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d121000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d120000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d11f000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d12f000 len=3
[GPA_RUN] batch0/input/pixel_values: 0x19d136000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d13e000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d145000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d14d000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d154000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d15c000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d163000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d16b000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d172000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d17a000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d181000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d189000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d11e000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d132000 len=4
[GPA_RUN] batch0/input/pixel_values: 0x19d137000 len=7
[GPA_RUN] batch0/input/pixel_values: 0x19d13f000 len=6
[GPA_RUN] batch0/input/pixel_values: 0x19d146000 len=7
[GPA_RUN] batch0/input/pixel_values: 0x19d14e000 len=6
[GPA_RUN] batch0/input/pixel_values: 0x19d155000 len=7
[GPA_RUN] batch0/input/pixel_values: 0x19d15d000 len=6
[GPA_RUN] batch0/input/pixel_values: 0x19d164000 len=7
[GPA_RUN] batch0/input/pixel_values: 0x19d16c000 len=6
[GPA_RUN] batch0/input/pixel_values: 0x19d173000 len=7
[GPA_RUN] batch0/input/pixel_values: 0x19d17b000 len=6
[GPA_RUN] batch0/input/pixel_values: 0x19d182000 len=7
[GPA_RUN] batch0/input/pixel_values: 0x19d18a000 len=13
[GPA_RUN] batch0/input/pixel_values: 0x19d1b7000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1b6000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1b5000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1b4000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1b3000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1b2000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1b1000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1b0000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1af000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1ae000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1ad000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1ac000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1ab000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1aa000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1a9000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1a8000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1a7000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1a6000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1a5000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1a4000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1a3000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1a2000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1a1000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1a0000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d19f000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d19e000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d19d000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d19c000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d19b000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d19a000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d199000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d198000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1b8000 len=5
[GPA_RUN] batch0/input/pixel_values: 0x19d1c3000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1cb000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1d2000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1da000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1e1000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1e9000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1f0000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1f8000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d1ff000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d207000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d20e000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d216000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d21d000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d225000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d22c000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d234000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d23b000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x19d243000 len=1
