CLOCK_REF  mono_ns=36971204275096  real_ns=1787631595031803664
WRITE  gpa=0x000000011ee6d000  ts=36961830699866
WRITE  gpa=0x000000010297f000  ts=36961830705666
WRITE  gpa=0x00000003b8173000  ts=36961830708996
WRITE  gpa=0x00000003b83e9000  ts=36961830711436
WRITE  gpa=0x00000003cac8a000  ts=36961830714696
WRITE  gpa=0x00000001e891d000  ts=36961830718176
WRITE  gpa=0x00000003b7223000  ts=36961830721506
WRITE  gpa=0x00000003cac8c000  ts=36961830725096
WRITE  gpa=0x00000003b8396000  ts=36961830728476
WRITE  gpa=0x000000010297e000  ts=36961830730986
WRITE  gpa=0x00000003b53a9000  ts=36961830734496
WRITE  gpa=0x0000000370408000  ts=36961830737536
WRITE  gpa=0x00000003b82f7000  ts=36961830740946
WRITE  gpa=0x000000035e33a000  ts=36961830744395
WRITE  gpa=0x00000003b5fc0000  ts=36962220676667
WRITE  gpa=0x00000003d6942000  ts=36962220705187
WRITE  gpa=0x0000003f7fc18000  ts=36962220710407
WRITE  gpa=0x0000003ce5a15000  ts=36962220713807
WRITE  gpa=0x0000003ce5a16000  ts=36962220716617
WRITE  gpa=0x0000003ce6605000  ts=36962220719467
WRITE  gpa=0x0000003ce660b000  ts=36962220722167
WRITE  gpa=0x0000003ce660c000  ts=36962220724387
WRITE  gpa=0x0000000100000000  ts=36962220728347
WRITE  gpa=0x00000001001ce000  ts=36962220731676
WRITE  gpa=0x000000010701d000  ts=36962220734416
WRITE  gpa=0x00000003d694f000  ts=36962220736886
WRITE  gpa=0x0000003f7fc31000  ts=36962220739896
WRITE  gpa=0x0000003f7fc1f000  ts=36962220742536
WRITE  gpa=0x0000003ce6601000  ts=36962220744836
WRITE  gpa=0x0000000100db1000  ts=36962220747426
WRITE  gpa=0x000000012282c000  ts=36962220751266
WRITE  gpa=0x000000011ee34000  ts=36962220754736
WRITE  gpa=0x0000003f7fc2e000  ts=36962220757996
WRITE  gpa=0x000000011ee30000  ts=36962220760296
WRITE  gpa=0x0000003f7fc33000  ts=36962220763396
WRITE  gpa=0x0000003f7fc15000  ts=36962220765826
WRITE  gpa=0x0000003f7fc32000  ts=36962220768996
WRITE  gpa=0x0000003ce660d000  ts=36962220771356
WRITE  gpa=0x0000003ce660e000  ts=36962220774096
WRITE  gpa=0x0000000122bfa000  ts=36962220776566
WRITE  gpa=0x0000003f7fc22000  ts=36962220783156
WRITE  gpa=0x00000001001d0000  ts=36962220785496
WRITE  gpa=0x000000011ee31000  ts=36962220788176
WRITE  gpa=0x0000003f7fc23000  ts=36962220790586
WRITE  gpa=0x0000003ce6165000  ts=36962220793456
WRITE  gpa=0x0000003ce5a07000  ts=36962220796116
WRITE  gpa=0x00000003d69fc000  ts=36971600701892
WRITE  gpa=0x0000003ce5a15000  ts=36971600709642
WRITE  gpa=0x0000003ce5a16000  ts=36971600713682
WRITE  gpa=0x0000000100000000  ts=36971600719332
WRITE  gpa=0x00000001001ce000  ts=36971600723592
WRITE  gpa=0x00000001001cf000  ts=36971600726732
WRITE  gpa=0x0000003f7fc05000  ts=36971600731362
WRITE  gpa=0x0000003ce6605000  ts=36971600736792
WRITE  gpa=0x0000003ce660b000  ts=36971600740242
WRITE  gpa=0x0000003ce660c000  ts=36971600743542
WRITE  gpa=0x0000003f7fc1f000  ts=36971600747002
WRITE  gpa=0x0000003ce6601000  ts=36971600751442
WRITE  gpa=0x0000000100db1000  ts=36971600755032
WRITE  gpa=0x00000001001d0000  ts=36971600758932
WRITE  gpa=0x000000011ee30000  ts=36971600763492
WRITE  gpa=0x000000011ee31000  ts=36971600767672
WRITE  gpa=0x000000011ee34000  ts=36971600772122
WRITE  gpa=0x0000003f7fc23000  ts=36971600775641
WRITE  gpa=0x0000003ce5a07000  ts=36971600779131
WRITE  gpa=0x0000003ce61d5000  ts=36971600783871
WRITE  gpa=0x0000003ce61d3000  ts=36971600787561
WRITE  gpa=0x0000003ce5bd0000  ts=36971600792151
WRITE  gpa=0x000000011ee32000  ts=36971600795771
WRITE  gpa=0x0000003ce5e0c000  ts=36971600799711
WRITE  gpa=0x0000003f7fc2e000  ts=36971600804571
WRITE  gpa=0x0000003f7fc33000  ts=36971600808201
WRITE  gpa=0x0000003f7fc15000  ts=36971600812621
WRITE  gpa=0x0000003f7fc32000  ts=36971600821311
WRITE  gpa=0x0000003ce660d000  ts=36971600826511
WRITE  gpa=0x0000003ce660e000  ts=36971600832131
WRITE  gpa=0x0000003ce5a1c000  ts=36971600838111
WRITE  gpa=0x0000003f7fc31000  ts=36971600857081
WRITE  gpa=0x0000003f7fc22000  ts=36971600863210
WRITE  gpa=0x0000000103bc0000  ts=36971600871110
WRITE  gpa=0x0000000102951000  ts=36971600878210
WRITE  gpa=0x0000003ce5de3000  ts=36971600885190
WRITE  gpa=0x0000003f7fc20000  ts=36971600892170
WRITE  gpa=0x0000003f7fc2d000  ts=36971600903360
WRITE  gpa=0x000000018867a000  ts=36971600912840
WRITE  gpa=0x00000001078a5000  ts=36971600921920
WRITE  gpa=0x000000010701d000  ts=36971600929440
WRITE  gpa=0x0000000107f99000  ts=36971600936050
WRITE  gpa=0x000000020299e000  ts=36971600943730
