CLOCK_REF  mono_ns=733079292071324  real_ns=1789314362394281549
WRITE  gpa=0x000000011f504000  ts=733080723119316
WRITE  gpa=0x000000244b815000  ts=733080724196955
WRITE  gpa=0x000000244b816000  ts=733080724202505
WRITE  gpa=0x000000244b803000  ts=733080724205945
WRITE  gpa=0x000000244c405000  ts=733080724210775
WRITE  gpa=0x000000244c40b000  ts=733080724214705
WRITE  gpa=0x000000244c40c000  ts=733080724218275
WRITE  gpa=0x0000003f7fc32000  ts=733080724222495
WRITE  gpa=0x0000003f7fc31000  ts=733080724227285
WRITE  gpa=0x0000003f7fc1f000  ts=733080724230485
WRITE  gpa=0x0000000100000000  ts=733080724234765
WRITE  gpa=0x00000001001ce000  ts=733080724238485
WRITE  gpa=0x00000001001cf000  ts=733080724241685
WRITE  gpa=0x0000003f7fc05000  ts=733080724244965
WRITE  gpa=0x000000244c401000  ts=733080724248644
WRITE  gpa=0x0000000100db1000  ts=733080724252374
WRITE  gpa=0x00000001001d0000  ts=733080724255814
WRITE  gpa=0x000000011ed6f000  ts=733080724259744
WRITE  gpa=0x000000011ee30000  ts=733080724264264
WRITE  gpa=0x000000011ee33000  ts=733080724268644
WRITE  gpa=0x0000003f7fc23000  ts=733080724272164
WRITE  gpa=0x000000244b807000  ts=733080724275404
WRITE  gpa=0x000000244bfd5000  ts=733080724278784
WRITE  gpa=0x000000244bf66000  ts=733080724283114
WRITE  gpa=0x000000244bfd3000  ts=733080724286394
WRITE  gpa=0x000000011ee31000  ts=733080724290294
WRITE  gpa=0x000000244bc0c000  ts=733080724293804
WRITE  gpa=0x000000244b9d0000  ts=733080724298934
WRITE  gpa=0x0000003f7fc2e000  ts=733080724302434
WRITE  gpa=0x0000003f7fc33000  ts=733080724306074
WRITE  gpa=0x0000003f7fc15000  ts=733080724309394
WRITE  gpa=0x000000244c40d000  ts=733080724313714
WRITE  gpa=0x000000244c40e000  ts=733080724316164
WRITE  gpa=0x000000244b81c000  ts=733080724318704
WRITE  gpa=0x0000003f7fc22000  ts=733080724326944
WRITE  gpa=0x0000000103b0e000  ts=733080724330244
WRITE  gpa=0x0000000108f2c000  ts=733080724334514
WRITE  gpa=0x000000244bbe3000  ts=733080724337974
WRITE  gpa=0x0000003f7fc20000  ts=733080724340944
WRITE  gpa=0x0000003f7fc2d000  ts=733080724344893
WRITE  gpa=0x000000010960f000  ts=733080724348403
WRITE  gpa=0x000000244b81b000  ts=733080724357123
WRITE  gpa=0x00000001229e3000  ts=733080724360653
WRITE  gpa=0x000000011ed6e000  ts=733080724363893
WRITE  gpa=0x000000010004f000  ts=733080724367453
WRITE  gpa=0x0000000100123000  ts=733080724370863
WRITE  gpa=0x000000011f2b1000  ts=733080724373823
WRITE  gpa=0x000000011f58c000  ts=733080724377923
WRITE  gpa=0x000000011f7ea000  ts=733080724381383
WRITE  gpa=0x000000011f7e9000  ts=733080724384443
WRITE  gpa=0x000000011f509000  ts=733080724386953
WRITE  gpa=0x0000000100d61000  ts=733080724392293
WRITE  gpa=0x000000011f810000  ts=733080724395283
WRITE  gpa=0x0000000100323000  ts=733080724399283
WRITE  gpa=0x0000000100db0000  ts=733080724402703
WRITE  gpa=0x000000244b817000  ts=733080724405943
WRITE  gpa=0x0000000100db4000  ts=733080724408373
WRITE  gpa=0x0000000121601000  ts=733080724412053
WRITE  gpa=0x0000000121602000  ts=733080724415693
WRITE  gpa=0x0000000121607000  ts=733080724418733
WRITE  gpa=0x0000000103bbd000  ts=733080724423063
WRITE  gpa=0x000000011f2b2000  ts=733080724426603
WRITE  gpa=0x000000011ee3c000  ts=733080724429753
WRITE  gpa=0x000000012149c000  ts=733080724433073
WRITE  gpa=0x00000001229e2000  ts=733080724439062
WRITE  gpa=0x0000000116fdb000  ts=733080724443222
WRITE  gpa=0x000000011f2b3000  ts=733080724446032
WRITE  gpa=0x000000012149d000  ts=733080724450712
WRITE  gpa=0x000000011ef5f000  ts=733080724454612
WRITE  gpa=0x0000000121606000  ts=733080724458392
WRITE  gpa=0x000000010bd02000  ts=733080724462012
WRITE  gpa=0x000000010932d000  ts=733080724469092
WRITE  gpa=0x000000010b9de000  ts=733080724472592
WRITE  gpa=0x00000001093b1000  ts=733080724477052
WRITE  gpa=0x000000010e370000  ts=733080724480982
WRITE  gpa=0x0000000121fe9000  ts=733080724487062
WRITE  gpa=0x000000011d004000  ts=733080724492682
WRITE  gpa=0x000000010e406000  ts=733080724496152
WRITE  gpa=0x000000010a576000  ts=733080724501112
WRITE  gpa=0x000000010b90f000  ts=733080724505042
WRITE  gpa=0x000000010917d000  ts=733080724508462
WRITE  gpa=0x000000010946c000  ts=733080724512992
WRITE  gpa=0x00000001091e7000  ts=733080724517312
WRITE  gpa=0x000000010e67d000  ts=733080724522382
WRITE  gpa=0x0000000116fc8000  ts=733080724526102
WRITE  gpa=0x000000010bbb3000  ts=733080724530532
WRITE  gpa=0x0000000109607000  ts=733080724555441
WRITE  gpa=0x0000000120869000  ts=733080724576421
WRITE  gpa=0x0000000116fd9000  ts=733080724579621
WRITE  gpa=0x00000001092ce000  ts=733080724583271
WRITE  gpa=0x0000000108a09000  ts=733080724586991
WRITE  gpa=0x0000000108883000  ts=733080724590771
WRITE  gpa=0x00000001092f1000  ts=733080724593441
WRITE  gpa=0x0000000117905000  ts=733080724596611
WRITE  gpa=0x000000011f576000  ts=733080724602691
WRITE  gpa=0x000000011f50a000  ts=733080724605651
WRITE  gpa=0x0000000100040000  ts=733080724608161
WRITE  gpa=0x0000000102251000  ts=733080724611221
WRITE  gpa=0x0000000102252000  ts=733080724614041
WRITE  gpa=0x0000000103b4d000  ts=733080724616831
WRITE  gpa=0x000000011f4ee000  ts=733080724620691
WRITE  gpa=0x0000000122bce000  ts=733080724624211
WRITE  gpa=0x0000003f7fc36000  ts=733080724628061
WRITE  gpa=0x0000000122bda000  ts=733080724630801
WRITE  gpa=0x0000000122bd9000  ts=733080724633610
WRITE  gpa=0x0000000117cb3000  ts=733080724637050
WRITE  gpa=0x0000000122e83000  ts=733080724640790
WRITE  gpa=0x0000000117cb7000  ts=733080724643770
WRITE  gpa=0x0000000117733000  ts=733080724646850
WRITE  gpa=0x000000011edd8000  ts=733080724650370
WRITE  gpa=0x000000010ba36000  ts=733080724653620
WRITE  gpa=0x000000011d2fc000  ts=733080724656590
WRITE  gpa=0x0000000117cb4000  ts=733080724659150
WRITE  gpa=0x00000001181b1000  ts=733080724662120
WRITE  gpa=0x00000001181b0000  ts=733080724665390
WRITE  gpa=0x0000000122dcf000  ts=733080724668230
WRITE  gpa=0x0000000122c01000  ts=733080724671880
WRITE  gpa=0x000000011ee8f000  ts=733080724674970
WRITE  gpa=0x0000000131492000  ts=733080724678460
WRITE  gpa=0x0000003f7fc21000  ts=733080724681700
WRITE  gpa=0x000000244c15e000  ts=733080724684640
WRITE  gpa=0x000000010917c000  ts=733080724689230
WRITE  gpa=0x0000000120867000  ts=733080724692100
WRITE  gpa=0x0000003f7fc00000  ts=733080724700300
WRITE  gpa=0x0000003f7fc0b000  ts=733080724702860
WRITE  gpa=0x0000000100324000  ts=733080724710410
WRITE  gpa=0x000000011f4ad000  ts=733080724713610
WRITE  gpa=0x000000011f0b1000  ts=733080724717440
WRITE  gpa=0x0000000109624000  ts=733080724720570
WRITE  gpa=0x00000001186f8000  ts=733080724723650
WRITE  gpa=0x000000244b97b000  ts=733080724727469
WRITE  gpa=0x000000244bfaa000  ts=733080724730839
WRITE  gpa=0x0000000121e63000  ts=733080724735159
WRITE  gpa=0x0000000121df6000  ts=733080724738459
WRITE  gpa=0x000000011f196000  ts=733080724742439
WRITE  gpa=0x000000011ecf7000  ts=733080724745479
WRITE  gpa=0x00000001223d9000  ts=733080724749829
WRITE  gpa=0x0000000122109000  ts=733080724753799
WRITE  gpa=0x000000012210a000  ts=733080724756429
WRITE  gpa=0x000000012210b000  ts=733080724758749
WRITE  gpa=0x000000012210c000  ts=733080724761159
WRITE  gpa=0x000000012210d000  ts=733080724763599
WRITE  gpa=0x000000012210e000  ts=733080724765999
WRITE  gpa=0x000000012210f000  ts=733080724768409
WRITE  gpa=0x0000000122110000  ts=733080724770799
WRITE  gpa=0x0000000122111000  ts=733080724773149
WRITE  gpa=0x0000000122112000  ts=733080724775639
WRITE  gpa=0x0000000122113000  ts=733080724778039
WRITE  gpa=0x0000000122114000  ts=733080724780429
WRITE  gpa=0x0000000122115000  ts=733080724782819
WRITE  gpa=0x0000000122116000  ts=733080724785209
WRITE  gpa=0x0000000122117000  ts=733080724787599
WRITE  gpa=0x0000000122118000  ts=733080724790029
WRITE  gpa=0x000000011f0ab000  ts=733080724792599
WRITE  gpa=0x00000001098bb000  ts=733080724800659
WRITE  gpa=0x000000010e6c2000  ts=733080724805859
WRITE  gpa=0x000000010f39c000  ts=733080724809519
WRITE  gpa=0x000000010f2f8000  ts=733080724813549
WRITE  gpa=0x0000000109820000  ts=733080724817059
WRITE  gpa=0x000000010a53c000  ts=733080724820819
WRITE  gpa=0x00000001284e8000  ts=733080724824758
WRITE  gpa=0x000000010a381000  ts=733080724828528
WRITE  gpa=0x0000000103b4c000  ts=733080724832598
WRITE  gpa=0x000000010a449000  ts=733080724836228
WRITE  gpa=0x000000010a2d1000  ts=733080724840028
WRITE  gpa=0x000000011f58f000  ts=733080724843398
WRITE  gpa=0x0000000122e84000  ts=733080724846008
WRITE  gpa=0x000000010a36b000  ts=733080724849378
WRITE  gpa=0x000000010a461000  ts=733080724853418
WRITE  gpa=0x000000010a409000  ts=733080724857208
WRITE  gpa=0x00000001098c9000  ts=733080724860558
WRITE  gpa=0x000000011f594000  ts=733080724864008
WRITE  gpa=0x0000000100db3000  ts=733080724866818
